epoch,train_loss,train_Valence_CCC,train_Valence_Pearson,train_Valence_R2,train_Valence_RMSE,train_Arousal_CCC,train_Arousal_Pearson,train_Arousal_R2,train_Arousal_RMSE,train_CCC_mean,val_Valence_CCC,val_Valence_Pearson,val_Valence_R2,val_Valence_RMSE,val_Arousal_CCC,val_Arousal_Pearson,val_Arousal_R2,val_Arousal_RMSE,val_CCC_mean
1,0.10287028563977112,0.362349640072073,0.4879259350465717,0.2109181739107463,0.2112111482582176,0.6577081160541147,0.6817036154366699,0.40900808379326137,0.21039804090360273,0.5100288780630938,0.23043224707560236,0.31666444665337695,0.04804754084785212,0.23149747347338542,0.6199967683274539,0.6491438531066839,0.3670342010435723,0.22594833713182635,0.42521450770152813
2,0.05735087738917445,0.42044442032131357,0.5854628015549,0.23000899720589596,0.20864051326041366,0.7072896817452599,0.7536871339024979,0.5627697181231388,0.18096977140541046,0.5638670510332867,0.2944256578840238,0.4169606368093144,0.08687557016754655,0.22672719054077742,0.6363029638867449,0.6922041057960853,0.4771817601010411,0.20534985126079547,0.4653643108853843
3,0.04603695894767475,0.5210924110798262,0.6318474949784938,0.380983013121419,0.18707127259209622,0.683559891847421,0.7925499770761776,0.4980680186854807,0.1938980116165455,0.6023261514636236,0.3654151585385808,0.47141945116320416,0.20520608469899715,0.21152704008412013,0.5946666432054001,0.717640011524065,0.37673752522351667,0.22420976174264043,0.4800409008719905
4,0.03913499811054787,0.4789335564826771,0.6747843839725164,0.22214642106045346,0.20970304866224954,0.6932334676601368,0.8116447208196153,0.48532534206418576,0.19634385500139676,0.586083512071407,0.3149025034043987,0.4762250964825034,0.034868068476796577,0.23309446864059333,0.5893477381890251,0.7165677552395703,0.32846131508470844,0.23273116591621548,0.45212512079671185
5,0.03650297088900469,0.601881337534274,0.6753894274236731,0.4336573011826822,0.1789350710861563,0.7709479032949457,0.8177495888961035,0.6370629146631002,0.16487947463937483,0.6864146204146098,0.39273675074896414,0.4735382531181254,0.19166836134406895,0.2133209034696053,0.6523977956536151,0.7174460976196559,0.4714719202005937,0.20646814697997723,0.5225672732012896
6,0.03421423475210843,0.6017316182702259,0.6879073527449748,0.420182731774597,0.1810511925915827,0.7778974186606264,0.8324843178517275,0.6504490253886435,0.16181030632434462,0.6898145184654262,0.38510517571063824,0.48240024352459826,0.18556930355873613,0.21412417002119605,0.6606900968601728,0.736171148216016,0.4926361056204883,0.20229204575491783,0.5228976362854055
7,0.03343707655260365,0.5648769528600858,0.7165431757516495,0.347183966745896,0.1921105534931369,0.6682565324459118,0.8311444829995298,0.36996928424056574,0.2172359927124808,0.6165667426529988,0.3449789025211172,0.4649085761759256,0.08504465449089604,0.22695438328291972,0.5547245497199815,0.7114290420609288,0.1647116052168185,0.25955969253117106,0.44985172612054936
8,0.03386101908638455,0.6702812416091959,0.727176791207217,0.49497180332546564,0.16897156647763403,0.7358334827390621,0.8381014079127802,0.4997115824709284,0.19358029420627987,0.703057362174129,0.35521750507565863,0.4241017904407703,0.11892925952191769,0.22271220358823304,0.6290224223869822,0.7172393381571033,0.34361091632557017,0.23009103738286538,0.49211996373132044
9,0.030597193458456597,0.6504242772463752,0.7416328154933619,0.4844139567700697,0.17072864497056678,0.8127752064464161,0.8482553406177781,0.693762963096392,0.15145366191128307,0.7315997418463956,0.35950011981960195,0.44316535067058005,0.1323617786854212,0.22100798408209907,0.691896821878819,0.7370789036094442,0.5190840723442007,0.19694892185662163,0.5256984708492105
10,0.030350871130927094,0.711285070392278,0.7705685220375594,0.5635536584864439,0.15708012776781463,0.8421129967052533,0.8598594236529283,0.7260705931238034,0.14324195836880094,0.7766990335487656,0.3698576913371678,0.4412611245175313,0.16087720196302024,0.21734586681155993,0.687046355810243,0.717413043286821,0.48800057976661737,0.20321406430720387,0.5284520235737054
