epoch,train_loss,train_Valence_CCC,train_Valence_Pearson,train_Valence_R2,train_Valence_RMSE,train_Arousal_CCC,train_Arousal_Pearson,train_Arousal_R2,train_Arousal_RMSE,train_CCC_mean,valid_Valence_CCC,valid_Valence_Pearson,valid_Valence_R2,valid_Valence_RMSE,valid_Arousal_CCC,valid_Arousal_Pearson,valid_Arousal_R2,valid_Arousal_RMSE,valid_CCC_mean
1,1.144991151443342,-0.16814169822514913,-0.19280159112020248,-1.5761412639783599,0.4945447210148897,-0.25458065079627185,-0.34777635568167425,-2.7768787084635655,0.6691990195029406,-0.2113611745107105,-0.21027688558959673,-0.24824322700626242,-1.7312411611763752,0.5077727561044043,-0.32082008095441733,-0.3763215907838144,-2.1239696754496773,0.6712568437987958,-0.26554848327200703
2,1.125876644035665,-0.11127415010484601,-0.13529496075273997,-1.4704847284642675,0.4842970460907086,-0.19453760186982713,-0.2853536500370901,-2.672562688737116,0.6598927938523904,-0.15290587598733657,-0.15278129403705837,-0.1912445996979086,-1.6119641160523202,0.49656141999226633,-0.25124658018273077,-0.3137197042358643,-1.9938929738381908,0.657133272591892,-0.20201393710989457
3,1.08340362441249,-0.05366329830679024,-0.0682260164154192,-1.3518444217049561,0.47252525795570033,-0.14245828378119155,-0.22219364976236947,-2.5808745302438645,0.6516033808885464,-0.09806079104399089,-0.0950203376091581,-0.12360264363233768,-1.4799418690493686,0.4838493051099503,-0.18908457226073913,-0.24990294827299006,-1.8865005595631343,0.6452397954382845,-0.1420524549349486
4,1.0487869607239235,0.004500996266461543,0.005880664166531661,-1.230925896726009,0.4602176873907881,-0.08196093242063804,-0.13070544838818426,-2.314720759241256,0.6269201820709099,-0.03872996807708825,-0.035905899176492354,-0.04757972389868877,-1.341729024142102,0.47017300514108146,-0.11559657386568137,-0.15739559906647765,-1.6557954254806115,0.6189173125459233,-0.07575123652108687
5,1.0087596621455215,0.06201980781298319,0.0810701395667232,-1.102278693248019,0.446751354271968,-0.0237311802560556,-0.03809768856348187,-2.0682769570293225,0.6031648937912637,0.019144313778463797,0.020332454268537872,0.026635255614585563,-1.191303595217743,0.4548211446564334,-0.044104811557083665,-0.061018572983920945,-1.4438286207315123,0.5937049846157437,-0.011886178644272896
6,0.9681455347596145,0.1165319580124167,0.14726239364412336,-0.9570337875194037,0.4310423037328096,0.04754027764397885,0.07263823189727302,-1.6920028915364385,0.5649714968809924,0.08203611782819778,0.07767169038541491,0.09756531286648681,-1.0238346416452524,0.4370960521021573,0.040833735408137395,0.054981899112493314,-1.1465355080170556,0.556422086322997,0.05925271289677615
7,0.9252580484239067,0.17611985477915543,0.2134539025004421,-0.8128465364890216,0.4148597047357554,0.14006800961715876,0.19290031309382796,-1.2245308714276804,0.5135798729704997,0.1580939321981571,0.13940076810473137,0.16660199740879186,-0.8631981065244332,0.41939078938828667,0.14684067485498875,0.18315375943281476,-0.7787919283171911,0.5065215146358364,0.14312072147986005
8,0.8767205447685428,0.23799815240126934,0.2736458585527805,-0.672077480633928,0.3984271567933549,0.23953125614141588,0.29580052350079966,-0.831289041869876,0.4659799444776534,0.2387647042713426,0.20502954190177436,0.23087499518614915,-0.7074258623865735,0.4014766567161499,0.25864935268426387,0.29724553616345484,-0.4671044754611191,0.4600084853585595,0.2318394472930191
9,0.8352886336605724,0.29686619374585843,0.32354703480814195,-0.5471427552907837,0.383253321450337,0.33595034105211147,0.3772051164418239,-0.520037324496323,0.42453734840811064,0.316408267398985,0.2683335826808518,0.28604364606419896,-0.5778660933369468,0.385944132808646,0.3623619194157567,0.38820899574029477,-0.2285958017806129,0.4209590351319674,0.31534775104830426
10,0.7985815158704432,0.3433288803003398,0.3616254068020479,-0.47204616811726785,0.373836282108337,0.41041899299738194,0.4340627170582451,-0.3223928445210895,0.3959761440687105,0.3768739366488609,0.3184915799614132,0.32887843067508465,-0.5022817171607239,0.37658677309492616,0.4396929591858805,0.45101971896118603,-0.07706705046467244,0.39414560834692147,0.37909226957364683
11,0.7652718359377326,0.3774820498450211,0.390668260305106,-0.44115121896507237,0.36989248676134573,0.46612236636614923,0.4784041369569187,-0.2095235498176109,0.3787005547230486,0.42180220810558516,0.3552880047309716,0.36203637947907996,-0.4745440304799238,0.3730939819419682,0.49403616912286347,0.4970929513731746,0.00533727161652553,0.37876796802308876,0.42466208692691754
12,0.7325492050589585,0.40223042103826406,0.41358914436695193,-0.4425993969749762,0.3700782881038353,0.5003641526346663,0.5080452421944873,-0.158147567152775,0.37057040023929066,0.4512972868364652,0.3825237977021293,0.3890120906413024,-0.4782262451780337,0.37355953451885654,0.5291105917206137,0.529399598737712,0.044587280094309234,0.37121954262397944,0.4558171947113715
13,0.7075918091506492,0.4184958018265658,0.4312962606289391,-0.46114839161001764,0.37244992872527777,0.520874303496387,0.528529500386476,-0.14334143291597878,0.3681940346407736,0.4696850526614764,0.3997825931121591,0.40843979418468135,-0.5009035104037625,0.3764139914118725,0.5511469577949204,0.5518360497890062,0.058493059341846565,0.3685081394304366,0.4754647754535397
14,0.7020140875403474,0.4295873308346702,0.4441172498739594,-0.4866981153188661,0.3756921569987009,0.5374426533098344,0.5473198617745773,-0.14038175998867697,0.3677171691896109,0.48351499207225235,0.4122681525052659,0.42382288059523976,-0.5295861257314396,0.37999364980174877,0.5670710616719019,0.5694832980596709,0.06043214294529453,0.36812846278539896,0.48966960708858387
15,0.6955601318580348,0.4383426954231507,0.45540262302111356,-0.512474659270133,0.37893505800099164,0.5457812342649495,0.5583072828480657,-0.15069686737777577,0.3693764834144577,0.49206196484405007,0.42202809272923947,0.4368414519188135,-0.5582007406110083,0.38353153130693884,0.5773204775019753,0.5815715001446807,0.05676989679958011,0.3688452103078678,0.4996742851156074
