epoch,train_loss,train_Valence_CCC,train_Valence_Pearson,train_Valence_R2,train_Valence_RMSE,train_Arousal_CCC,train_Arousal_Pearson,train_Arousal_R2,train_Arousal_RMSE,train_CCC_mean,valid_Valence_CCC,valid_Valence_Pearson,valid_Valence_R2,valid_Valence_RMSE,valid_Arousal_CCC,valid_Arousal_Pearson,valid_Arousal_R2,valid_Arousal_RMSE,valid_CCC_mean
1,0.6438588564286656,0.41576013324137107,0.42480423447422017,-0.4603207555190243,0.29273486808036814,0.6616425813164549,0.6860925381720105,0.14631239777341098,0.2560871203593697,0.538701357278913,0.36828065493406825,0.3790331234083469,-0.6545798256755402,0.31080097391474115,0.6988500844302833,0.7271900021549722,0.23722612281295907,0.2548216267999027,0.5335653696821758
2,0.5439945502342239,0.3855155150568829,0.42578514374946974,-0.38889835228530467,0.28548648757253736,0.7119314383619009,0.7129309555956168,0.39319362678019665,0.21590530633082725,0.5487234767093919,0.37835342816337114,0.4227127055250726,-0.4959905544371692,0.2955309258789578,0.7315599292731958,0.7328898082640107,0.43036332610269046,0.2202101583804839,0.5549566787182835
3,0.5241139142339764,0.4670557044347012,0.4786348521546888,-0.20303840670676165,0.26569909318046364,0.732187375127906,0.7383433883480452,0.3891662005977824,0.21662061246699507,0.5996215397813036,0.4025093151166894,0.4183554986267911,-0.46380079264715146,0.2923341135095642,0.7406441429259228,0.7491609159441619,0.3901128026643935,0.22785739958915424,0.5715767290213061
4,0.5081598596833145,0.5021265760527126,0.5048937582168762,0.018901611331076817,0.23994218382534105,0.7457348760089327,0.7572018268255355,0.4689060497809542,0.20198723612336963,0.6239307260308227,0.4375931484638034,0.43916186213488284,-0.16788618054378435,0.2611191771126696,0.7665678148225608,0.7812571357567114,0.5045636070631643,0.20536779058815627,0.6020804816431821
5,0.47935152630198674,0.5420343794592681,0.5423535144989874,0.05521571922741364,0.2354597374870036,0.7756776869660952,0.7805457602914374,0.5053354818056307,0.1949367088000149,0.6588560332126816,0.443576841383047,0.4446002296032093,-0.1936815844642279,0.26398713067410573,0.784364456913792,0.7886908206795905,0.5184831502932439,0.20246227977218298,0.6139706491484195
6,0.4640077388672173,0.5682468254078274,0.5692436552841525,0.16864112403464981,0.22087399934003352,0.7837042737279073,0.7838604003197954,0.5586250470758927,0.18413743599181817,0.6759755495678674,0.41457780749683665,0.4148776014092559,-0.1395830511003373,0.25793572605736564,0.7690035732983924,0.7755492829064796,0.524144662936556,0.2012685188523616,0.5917906903976146
7,0.4460365731279162,0.5880652685702308,0.5953144593775052,0.14036066024168437,0.22459933548746833,0.7992695441958095,0.8068142893635931,0.5577087927963413,0.18432846319359011,0.6936674063830202,0.4554279132202822,0.46136446114828567,-0.15146481014246094,0.25927691088207716,0.7876048711965715,0.7933444216994646,0.5210746347897044,0.20191672699564903,0.6215163922084268
8,0.41725702403047976,0.6267261951506066,0.6278959557357567,0.24925921654521566,0.20989173168490594,0.8215651262930633,0.8243195628888645,0.630753207913334,0.16842114475405415,0.724145660721835,0.4751640495181274,0.47567643844449553,-0.09118644698784495,0.2523992094477964,0.806326529692899,0.8076623216170019,0.6013522922065891,0.18421840337180986,0.6407452896055132
9,0.3961592824712918,0.6796610013411196,0.6812642699115973,0.39816612480738656,0.18792676618942614,0.8167332371553809,0.8274254136984232,0.6399194758025046,0.1663175448965821,0.7481971192482503,0.44647770867296976,0.4487939430634193,-0.017820551061620504,0.24376655315645757,0.7740614666215911,0.7966200759484039,0.5469123638575348,0.19639457357307935,0.6102695876472805
10,0.3708323319806564,0.7359298460094781,0.7366542741980155,0.46936315902536563,0.17646111759223054,0.8440897025789348,0.8471228443071642,0.6708905766758466,0.15900413120657889,0.7900097742942065,0.45270464628380797,0.45355148097770714,-0.044695485059517814,0.2469638390233496,0.7901296007117836,0.802824765906727,0.5530231186093783,0.19506569923036735,0.6214171234977958
11,0.3552127989395609,0.7571807329514945,0.7671241795102559,0.43698445537265607,0.18176510802156157,0.8489886808056988,0.8557569341142247,0.6728965582252674,0.15851881105697962,0.8030847068785967,0.44712609409549897,0.44764337221721495,-0.15080133325145129,0.2592022021178285,0.8027560418445007,0.8048391127576121,0.5760923349212809,0.18996518419505906,0.6249410679699998
12,0.34331925004479696,0.7891722048558258,0.7909547609200793,0.5508099968199098,0.16235488755453076,0.8571000952458577,0.8661837985095305,0.7279221787438348,0.14457221004135015,0.8231361500508418,0.47055249835834495,0.4717122155042927,0.00010349531061826234,0.24161062779594944,0.8202528781671953,0.8228812979083407,0.6643596134548659,0.1690345510967886,0.6454026882627701
13,0.32090959681895864,0.8032933323065244,0.8083875831046388,0.5663437167179974,0.15952294096028813,0.8748092772860084,0.8777850403018319,0.727781273774354,0.14460964107115976,0.8390513047962664,0.5104331213555028,0.5127940768590052,0.05654655236562045,0.23469224893885998,0.8120545361591379,0.8164928731608226,0.5963801189229359,0.1853636844821126,0.6612438287573204
14,0.29126348099457927,0.7803176320213222,0.814301358071218,0.5017588114673304,0.17098977446210473,0.8823686691095997,0.8830927808801062,0.7615751151255526,0.13533621936153262,0.8313431505654609,0.4796811469302659,0.5078093184871012,-0.04240220907003733,0.24669262726692762,0.8116820860547174,0.8131141094867455,0.6259063344734205,0.1784549321475781,0.6456816164924917
