epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,1.4323912640897238,0.44725398614913836,0.49408473353701626,0.44725398614913836,0.46434722658384253,"[[7533 3331 1283  511]
 [1085  562  175  157]
 [1580  611   96  344]
 [ 825  362   32  140]]",0.3948090314412323,0.42780174196747656,0.3948090314412323,0.4067537817852592,"[[1721  788  397  137]
 [ 235   67   26   28]
 [ 536  211   25   99]
 [ 301   98   12   58]]"
2,1.198142309741276,0.6288720674290009,0.5122038235814215,0.6288720674290009,0.5557163583279126,"[[11407   704   367   180]
 [ 1626   205    79    69]
 [ 2204   222    50   155]
 [ 1158   137    12    52]]",0.5815572905676303,0.4556025870096872,0.5815572905676303,0.49809227247450333,"[[2700  167  121   55]
 [ 324   18    7    7]
 [ 734   74   14   49]
 [ 408   29    8   24]]"
3,1.0531056290719567,0.6661834970741397,0.5234788128682022,0.6661834970741397,0.562469211036267,"[[12246   201   132    79]
 [ 1803   106    36    34]
 [ 2409   106    33    83]
 [ 1268    57    10    24]]",0.622705212070057,0.4693629618156155,0.622705212070057,0.5066877469829456,"[[2924   61   33   25]
 [ 345    5    4    2]
 [ 805   30    8   28]
 [ 443    8    4   14]]"
4,0.9761394894704586,0.6736994685134482,0.5399372904304343,0.6736994685134482,0.5627900886847077,"[[12415   105    94    44]
 [ 1861    72    22    24]
 [ 2465    67    42    57]
 [ 1288    39    12    20]]",0.6328339312091158,0.48276241249847635,0.6328339312091158,0.509320051574413,"[[2975   35   19   14]
 [ 349    4    3    0]
 [ 827   18    6   20]
 [ 446    4    5   14]]"
5,0.9305637965841991,0.6769742846405755,0.5572695595616983,0.6769742846405755,0.5635902392143469,"[[12478    72    81    27]
 [ 1888    55    19    17]
 [ 2481    47    59    44]
 [ 1302    26    13    18]]",0.6357881409580081,0.4812678412112689,0.6357881409580081,0.5087770735570972,"[[2994   26   14    9]
 [ 350    3    3    0]
 [ 835   15    5   16]
 [ 448    2    8   11]]"
6,0.8945076251175346,0.6793901326032104,0.5736948371844632,0.6793901326032104,0.5647370106212741,"[[12519    58    68    13]
 [ 1902    45    17    15]
 [ 2484    38    74    35]
 [ 1312    18    12    17]]",0.6391643806710277,0.4834163771930687,0.6391643806710277,0.5091906273127706,"[[3012   14   12    5]
 [ 351    3    2    0]
 [ 843   12    3   13]
 [ 450    1    7   11]]"
7,0.8725818391980195,0.6809470124013529,0.5847531752014167,0.6809470124013529,0.5677234700942919,"[[12523    48    73    14]
 [ 1899    44    20    16]
 [ 2468    31    97    35]
 [ 1306    17    16    20]]",0.641907575437856,0.511130556637086,0.641907575437856,0.5134365287780454,"[[3018   11   10    4]
 [ 350    3    3    0]
 [ 836   10    8   17]
 [ 445    1   10   13]]"
8,0.8627891129836803,0.6832018038331454,0.5932099324420578,0.6832018038331454,0.5716591950165104,"[[12532    39    74    13]
 [ 1897    39    30    13]
 [ 2441    28   138    24]
 [ 1297    14    31    17]]",0.641907575437856,0.5149506001747294,0.641907575437856,0.5142601229310838,"[[3016    8   17    2]
 [ 352    1    3    0]
 [ 833   11   13   14]
 [ 443    1   13   12]]"
9,0.8486284795330792,0.6862081924088689,0.604411894456699,0.6862081924088689,0.5781102104760449,"[[12530    32    86    10]
 [ 1888    37    42    12]
 [ 2389    27   195    20]
 [ 1278    15    46    20]]",0.6431736653302385,0.5289409535081108,0.6431736653302385,0.5181214477838819,"[[3013    8   20    2]
 [ 351    1    4    0]
 [ 826    9   23   13]
 [ 440    0   18   11]]"
10,0.8399060742884148,0.6887314113920653,0.6115622969708292,0.6887314113920653,0.584211814746036,"[[12514    31   105     8]
 [ 1886    33    47    13]
 [ 2329    25   260    17]
 [ 1260    10    67    22]]",0.6467609200253218,0.5448105834214049,0.6467609200253218,0.5261247121919519,"[[3013    6   22    2]
 [ 349    1    6    0]
 [ 810    8   39   14]
 [ 431    0   26   12]]"
11,0.8265051356539493,0.6909325173135771,0.6113425731312565,0.6909325173135771,0.5895655171403154,"[[12499    28   122     9]
 [ 1874    32    63    10]
 [ 2269    24   320    18]
 [ 1232     9    99    19]]",0.6478159949356405,0.5479166868222288,0.6478159949356405,0.5320792853762265,"[[3001    6   34    2]
 [ 347    1    8    0]
 [ 794    6   57   14]
 [ 426    0   32   11]]"
12,0.8158074301190492,0.6938852203790197,0.6234635135702777,0.6938852203790197,0.5954306874907221,"[[12490    26   134     8]
 [ 1867    39    64     9]
 [ 2215    21   380    15]
 [ 1218     6   119    16]]",0.649715129774214,0.5600099278166436,0.649715129774214,0.5388335319743892,"[[2990    7   45    1]
 [ 346    1    9    0]
 [ 776    7   78   10]
 [ 421    0   38   10]]"
13,0.8024166408108502,0.6965158103827777,0.6346698049519263,0.6965158103827777,0.6012690361820444,"[[12473    26   152     7]
 [ 1852    45    73     9]
 [ 2160    22   438    11]
 [ 1194     4   143    18]]",0.6509812196665963,0.5506689930079396,0.6509812196665963,0.5420319888068171,"[[2986    4   52    1]
 [ 347    0    9    0]
 [ 763    7   92    9]
 [ 416    0   46    7]]"
14,0.7925263301628392,0.6996832554893434,0.6399459296474739,0.6996832554893434,0.6076181284096434,"[[12455    22   175     6]
 [ 1839    41    92     7]
 [ 2079    26   518     8]
 [ 1160     5   175    19]]",0.6554125342899346,0.5542374715004951,0.6554125342899346,0.5520719925763733,"[[2978    4   59    2]
 [ 345    0   11    0]
 [ 736    4  121   10]
 [ 404    0   58    7]]"
