epoch,train_loss,train_Valence_CCC,train_Valence_Pearson,train_Valence_R2,train_Valence_RMSE,train_Arousal_CCC,train_Arousal_Pearson,train_Arousal_R2,train_Arousal_RMSE,train_CCC_mean,valid_Valence_CCC,valid_Valence_Pearson,valid_Valence_R2,valid_Valence_RMSE,valid_Arousal_CCC,valid_Arousal_Pearson,valid_Arousal_R2,valid_Arousal_RMSE,valid_CCC_mean
1,0.7686548665089745,0.42079107520783565,0.4515801541288685,-0.8080274392353257,0.43027937257830395,0.5012999433130247,0.52950143866218,-0.46059067116267927,0.4217304236427613,0.4610455092604302,0.39214309926500024,0.4396803169762157,-1.201305878654801,0.46398321749732496,0.5041408820735623,0.544635171799586,-0.5787433784605622,0.4525689776802681,0.4481419906692813
2,0.6893669650136307,0.4631292175036517,0.49361929127705617,-0.6397427004014287,0.40976595364851665,0.5593988849667001,0.5887874269176805,-0.2634557317760984,0.39223892132605026,0.5112640512351759,0.4277720479820751,0.4730910209836275,-0.9934603937501076,0.44153575834718795,0.5642980115956256,0.6022835949456815,-0.33387720446708613,0.4159938741064862,0.4960350297888504
3,0.6362258936111931,0.5040831059082194,0.5322982451751856,-0.4606853745832651,0.38674647008524055,0.606654660076359,0.6334063064198885,-0.10015756207734094,0.3660143519757411,0.5553688829922891,0.4550929608861729,0.49668460239099715,-0.8077486897297677,0.4204662128660435,0.6062269060339721,0.6423796753640876,-0.17457233094421487,0.39036322114554084,0.5306599334600726
4,0.6179911282034098,0.5418009985436486,0.5642740699382722,-0.2691624772399821,0.36050112964609415,0.644095762199974,0.6637107607687941,0.06944086182947629,0.33662212719416673,0.5929483803718113,0.4844940245506019,0.518475421673803,-0.5778242492641705,0.39281800772678255,0.6408272805853179,0.6680695902652467,0.002388348704437382,0.359757425203106,0.5626606525679599
5,0.5772882000348027,0.5692041764601614,0.5921156542810522,-0.1831912571610168,0.34807713370807497,0.6800535162823305,0.692132339123743,0.21402177868612038,0.3093683828068862,0.6246288463712459,0.49940890582807435,0.5306359664371582,-0.49939353174071255,0.38293044109219754,0.6686882506675653,0.686791779460647,0.1421373052500503,0.3336091096668554,0.5840485782478199
6,0.558913221300359,0.6051421331404389,0.6167619559126012,0.02373397367504193,0.31617833362068454,0.7066677446981653,0.7139824461229783,0.31563914965952855,0.2886777087072147,0.6559049389193021,0.5227708676170386,0.5415421848367226,-0.2592134750622148,0.35092293803577856,0.6886830188659768,0.6998099510933837,0.2429377218312606,0.3133969846673748,0.6057269432415078
7,0.5402516379977816,0.6237464824403517,0.6349788429204506,0.07411278830163814,0.3079123164193839,0.7254141853499196,0.7305995381223446,0.38562416498748164,0.2735191471584009,0.6745803338951357,0.5313430663088555,0.5515932981056925,-0.2202096195717662,0.34544530756632397,0.7034615378881979,0.7122249759526346,0.3103335887509501,0.29912213193612547,0.6174023020985266
8,0.5149565648281188,0.6443702831333278,0.6525629850892293,0.15531932788957492,0.2940995069954345,0.7420892385668886,0.7453073627168761,0.43707617662898235,0.26181557910387665,0.6932297608501081,0.5425957644309947,0.5599012448368763,-0.1318098918200643,0.3326969489619648,0.7126086720764938,0.71916633941864,0.35224107951438577,0.2898916533580643,0.6276022182537442
9,0.506757587397525,0.6584798569537946,0.6656740985394355,0.20013012224890703,0.28619213143434863,0.7558244649313293,0.7576939291072461,0.47801172911257583,0.2521163686607526,0.707152160942562,0.5479037073102311,0.5652058006582465,-0.09999456012438346,0.32798753902169825,0.7211229547664614,0.726039617372003,0.3896387015499727,0.2813989704003803,0.6345133310383462
10,0.507186268876724,0.6729163746903385,0.6788692880995914,0.24648636373545452,0.27777526854936674,0.7665984291498831,0.7676910703862639,0.5069021109700871,0.24504014601138335,0.7197574019201107,0.5571606969048695,0.5709889749636081,-0.04579313073386637,0.31980479268950696,0.7265080371626574,0.7285899935379785,0.4157122548007891,0.2753229401698885,0.6418343670337634
