epoch,train_loss,train_Valence_CCC,train_Valence_Pearson,train_Valence_R2,train_Valence_RMSE,train_Arousal_CCC,train_Arousal_Pearson,train_Arousal_R2,train_Arousal_RMSE,train_CCC_mean,val_Valence_CCC,val_Valence_Pearson,val_Valence_R2,val_Valence_RMSE,val_Arousal_CCC,val_Arousal_Pearson,val_Arousal_R2,val_Arousal_RMSE,val_CCC_mean
1,0.6773100598341858,0.33813667183801166,0.4437086535613523,-2.1216094891672324,0.42312683577933746,0.6513028881948457,0.7011651009869677,0.03753945026267913,0.26620781937163157,0.4947197800164287,0.2998830637455431,0.4149196472952059,-2.4890127824964035,0.4243905999181427,0.6865465607144542,0.72908417495727,0.2232154419159682,0.2587617141945964,0.49321481222999863
2,0.5540862310042579,0.4379294083527725,0.5215910889244522,-0.7435094652662908,0.31622298862163106,0.7316906135038054,0.747971675132049,0.3721521209603674,0.21500895828645483,0.584810010928289,0.3133260143123546,0.4040191600289126,-1.234412483387036,0.33962226194835793,0.7312099201303207,0.7462707759410864,0.40071202248660265,0.22728329160654723,0.5222679672213376
3,0.5078167731311464,0.39747212490671496,0.513162944029717,-1.033910566578189,0.3415444325933598,0.7560030444796138,0.7680464418520754,0.4776195498864575,0.1961204120095729,0.5767375846931644,0.36105374981309324,0.4483567158807643,-1.1447565870176835,0.33273882661919285,0.7505442441893014,0.7559650003661444,0.4920118177278824,0.20925533165715124,0.5557989970011974
4,0.47873722380756784,0.5676893836778827,0.591537015891942,0.06783525812543079,0.23122118374439174,0.7680975859683312,0.7771398420184313,0.5879293118760271,0.1741867839501225,0.667893484823107,0.4605958862466033,0.46749088263444577,-0.11628109636081918,0.24004975150824892,0.7287568816868911,0.7420126662647476,0.5430005117451027,0.19847581073142706,0.5946763839667473
5,0.47105292474619254,0.6063640615091134,0.6192143416879353,0.04507919615112921,0.23402645908866146,0.7781208526361437,0.7900212234160403,0.5099965544552016,0.18994545499311105,0.6922424570726285,0.4331512810946582,0.451887476450921,-0.3702010047852251,0.2659540550290107,0.7715444953545343,0.7749406916847239,0.5282093402140495,0.20166215188317416,0.6023478882245963
6,0.4372769855134498,0.6302911821281285,0.6463990628932271,0.27491619403751644,0.20392730835072714,0.7209368906499671,0.788916052817839,0.3685620638233219,0.21562279659370046,0.6756140363890478,0.40949436428354474,0.44116804067188164,-0.074951466406038,0.23556399110279397,0.6773247979073576,0.7500165560032862,0.312108722004405,0.2435059789655095,0.5434095810954511
7,0.4103237777811042,0.6938595338618876,0.6946742283915682,0.38183021268374506,0.18829343221135747,0.7431622088898144,0.815147023662902,0.49724937431003957,0.19240025760870044,0.718510871375851,0.44235457672585227,0.4466892910115943,0.012053268393044547,0.22582979485535526,0.7148554543442617,0.7594200579387956,0.484762489288297,0.21074314864427832,0.5786050155350569
8,0.3982664073392543,0.5984813509982343,0.7113639347599492,0.03586456912519065,0.23515288193057235,0.820651561592648,0.8208679922648278,0.64092185941815,0.162601228730845,0.7095664562954411,0.3547422825021338,0.4629936326544334,-0.5787811605775064,0.28547983908904784,0.7544704152334677,0.7559414602180925,0.5175507262217494,0.20392738782535078,0.5546063488678008
9,0.38608143914679777,0.6896779522809644,0.7152348268971945,0.2889707886942223,0.2019412340063937,0.8108321417161328,0.8109831153556422,0.6154225275832377,0.16827564337593842,0.7502550469985486,0.4044282238823835,0.43209473033021106,-0.23581039668613735,0.25257502106708113,0.7452440261515576,0.7485039244513966,0.5196825630702585,0.20347633394011666,0.5748361250169706
10,0.37144942506117756,0.7390709791859471,0.7585611692608203,0.4233361937719895,0.18186227988129805,0.8242958583407397,0.8248633015212475,0.6374959850324403,0.16337505613866352,0.7816834187633435,0.42918095059902805,0.45387152442635187,-0.08808838199957525,0.23699902655254756,0.7394185399677062,0.7403272186851331,0.4951914351465547,0.20859941451142175,0.5842997452833671
