epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,1.0892304661797314,0.6541713191896634,0.4279401148503445,0.6541713191896634,0.5174072478296643,"[[12303     0     0     0]
 [ 1787     0     0     0]
 [ 3259     0     0     0]
 [ 1458     0     0     0]]",0.7453388901074797,0.5555300611066497,0.7453388901074797,0.6365870424997401,"[[3398    0    0    0]
 [ 548    0    0    0]
 [ 243    0    0    0]
 [ 370    0    0    0]]"
2,0.8708211542145023,0.7068112936672516,0.5837124102491257,0.7068112936672516,0.6393743957889265,"[[11452     0   851     0]
 [ 1395     0   392     0]
 [ 1418     0  1841     0]
 [  694     0   764     0]]",0.7323974555823646,0.6030018529436331,0.7323974555823646,0.6603737687350495,"[[3228    0  170    0]
 [ 486    0   62    0]
 [ 132    0  111    0]
 [ 226    0  144    0]]"
3,0.8185304667406935,0.7078747274950816,0.59039591640651,0.7078747274950816,0.6436198500352007,"[[11360     0   943     0]
 [ 1348     0   439     0]
 [ 1306     0  1953     0]
 [  527     0   931     0]]",0.7308620311471814,0.6116839226086631,0.7308620311471814,0.6635050500499685,"[[3188    0  210    0]
 [ 483    0   65    0]
 [  99    0  144    0]
 [ 199    0  171    0]]"
4,0.7824090820381312,0.7106396554474398,0.632133810292328,0.7106396554474398,0.6603420611456102,"[[10668     0  1635     0]
 [  983     0   804     0]
 [  562     0  2697     0]
 [  295     0  1163     0]]",0.7019083132265848,0.638564876975466,0.7019083132265848,0.6614814259906289,"[[3032    0  366    0]
 [ 364    0  184    0]
 [  75    0  168    0]
 [ 120    0  250    0]]"
5,0.7886642411472352,0.7165417131918966,0.6226641256111789,0.7165417131918966,0.6613598275680003,"[[10969     0  1334     0]
 [ 1093     0   694     0]
 [  752     0  2507     0]
 [  329     0  1129     0]]",0.7030050449660014,0.6264148517210095,0.7030050449660014,0.6565391404546342,"[[3046    0  352    0]
 [ 422    0  126    0]
 [  84    0  159    0]
 [ 129    0  241    0]]"
6,0.7758317444382644,0.7178710054766843,0.6106034368329237,0.7178710054766843,0.6579302202309238,"[[11225     0  1078     0]
 [ 1211     0   576     0]
 [  983     0  2276     0]
 [  393     0  1065     0]]",0.7179205966220662,0.6204357074519485,0.7179205966220662,0.6611697516096406,"[[3117    0  281    0]
 [ 441    0  107    0]
 [  87    0  156    0]
 [ 168    0  202    0]]"
7,0.7648739327139001,0.7133514117084064,0.6388584479437615,0.7133514117084064,0.6640282896998075,"[[10647     0  1656     0]
 [  941     0   846     0]
 [  490     0  2769     0]
 [  255     0  1203     0]]",0.6891862250493529,0.6453838645531584,0.6891862250493529,0.6574641662450214,"[[2962    0  436    0]
 [ 329    0  219    0]
 [  63    0  180    0]
 [ 114    0  256    0]]"
8,0.7532426412633764,0.7229754878502686,0.6241602643211727,0.7229754878502686,0.6658049070303932,"[[11103     0  1200     0]
 [ 1121     0   666     0]
 [  765     0  2494     0]
 [  327     0  1131     0]]",0.7104628207940338,0.624476726440519,0.7104628207940338,0.6592945438082537,"[[3079    0  319    0]
 [ 437    0  111    0]
 [  83    0  160    0]
 [ 138    0  232    0]]"
9,0.7462281241891829,0.7139894720051044,0.6417387264128943,0.7139894720051044,0.6651049268929708,"[[10609     0  1694     0]
 [  954     0   833     0]
 [  440     0  2819     0]
 [  227     0  1231     0]]",0.6915990348760693,0.6476017486366277,0.6915990348760693,0.6596067739325203,"[[2970    0  428    0]
 [ 331    0  217    0]
 [  60    0  183    0]
 [ 105    0  265    0]]"
10,0.7424649870613726,0.7261657893337587,0.6319416936318536,0.7261657893337587,0.6702465672016483,"[[11045     0  1258     0]
 [ 1075     0   712     0]
 [  647     0  2612     0]
 [  295     0  1163     0]]",0.705637201140601,0.62593986803946,0.705637201140601,0.6574545496550679,"[[3054    0  344    0]
 [ 425    0  123    0]
 [  80    0  163    0]
 [ 137    0  233    0]]"
