epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,1.0730334895897686,0.6739397172579354,0.45419474249770597,0.6739397172579354,0.5426655904212824,"[[12633     0     0     0]
 [ 1758     0     0     0]
 [ 2738     0     0     0]
 [ 1616     0     0     0]]",0.663925557238693,0.44079714555470895,0.663925557238693,0.5298279645229054,"[[3068    0    0    0]
 [ 577    0    0    0]
 [ 764    0    0    0]
 [ 212    0    0    0]]"
2,0.8719105215334311,0.6739397172579354,0.45419474249770597,0.6739397172579354,0.5426655904212824,"[[12633     0     0     0]
 [ 1758     0     0     0]
 [ 2738     0     0     0]
 [ 1616     0     0     0]]",0.663925557238693,0.44079714555470895,0.663925557238693,0.5298279645229054,"[[3068    0    0    0]
 [ 577    0    0    0]
 [ 764    0    0    0]
 [ 212    0    0    0]]"
3,0.805767828250319,0.7013603627634035,0.5819480650058907,0.7013603627634035,0.6358108615369323,"[[11686     0   947     0]
 [ 1363     0   395     0]
 [ 1277     0  1461     0]
 [  678     0   938     0]]",0.7390175286734473,0.6151230349465768,0.7390175286734473,0.6712641028166033,"[[2855    0  213    0]
 [ 487    0   90    0]
 [ 204    0  560    0]
 [  94    0  118    0]]"
4,0.782633371530025,0.702480661509736,0.5880793281146969,0.702480661509736,0.6394372690749235,"[[11637     0   996     0]
 [ 1323     0   435     0]
 [ 1207     0  1531     0]
 [  565     0  1051     0]]",0.7409651590564813,0.6195032082294217,0.7409651590564813,0.6742565970243045,"[[2838    0  230    0]
 [ 474    0  103    0]
 [ 178    0  586    0]
 [  88    0  124    0]]"
5,0.7673270592723436,0.707175246732462,0.5726111951520613,0.707175246732462,0.6322001679361818,"[[12019     0   614     0]
 [ 1592     0   166     0]
 [ 1501     0  1237     0]
 [  824     0   792     0]]",0.7318762172689894,0.6025246761285308,0.7318762172689894,0.6598316116114084,"[[2922    0  146    0]
 [ 525    0   52    0]
 [ 304    0  460    0]
 [ 106    0  106    0]]"
6,0.7631778199740542,0.7081355028007469,0.5811427386698864,0.7081355028007469,0.6383831726991058,"[[11908     0   725     0]
 [ 1412     0   346     0]
 [ 1372     0  1366     0]
 [  685     0   931     0]]",0.730794200389526,0.6049364005588314,0.730794200389526,0.6619016912842077,"[[2873    0  195    0]
 [ 495    0   82    0]
 [ 260    0  504    0]
 [ 101    0  111    0]]"
7,0.7545626565087132,0.7046679114430515,0.571181707232539,0.7046679114430515,0.6305147010496501,"[[11996     0   637     0]
 [ 1544     0   214     0]
 [ 1525     0  1213     0]
 [  793     0   823     0]]",0.7344730577797014,0.6050012649415831,0.7344730577797014,0.6622970944747097,"[[2925    0  143    0]
 [ 526    0   51    0]
 [ 295    0  469    0]
 [ 115    0   97    0]]"
8,0.7469736657794414,0.7067484662576687,0.6287807739825421,0.7067484662576687,0.6573696921023712,"[[11132     0  1501     0]
 [ 1016     0   742     0]
 [  622     0  2116     0]
 [  291     0  1325     0]]",0.7208396450984635,0.621343204949392,0.7208396450984635,0.6626056460578665,"[[2693    0  375    0]
 [ 416    0  161    0]
 [ 126    0  638    0]
 [  68    0  144    0]]"
9,0.736044064043014,0.7057348626300347,0.5719290639637585,0.7057348626300347,0.6313744137357606,"[[12014     0   619     0]
 [ 1593     0   165     0]
 [ 1523     0  1215     0]
 [  739     0   877     0]]",0.7303613936377408,0.6016109760377771,0.7303613936377408,0.6581435529368979,"[[2913    0  155    0]
 [ 551    0   26    0]
 [ 302    0  462    0]
 [ 120    0   92    0]]"
10,0.7328383024872803,0.7175780208055481,0.6169777206469178,0.7175780208055481,0.6597796220373042,"[[11538     0  1095     0]
 [ 1205     0   553     0]
 [  825     0  1913     0]
 [  336     0  1280     0]]",0.7225708721056049,0.6113601833579629,0.7225708721056049,0.6605618344001842,"[[2759    0  309    0]
 [ 449    0  128    0]
 [ 184    0  580    0]
 [  76    0  136    0]]"
