epoch,train_loss,train_Valence_CCC,train_Valence_Pearson,train_Valence_R2,train_Valence_RMSE,train_Arousal_CCC,train_Arousal_Pearson,train_Arousal_R2,train_Arousal_RMSE,train_CCC_mean,val_Valence_CCC,val_Valence_Pearson,val_Valence_R2,val_Valence_RMSE,val_Arousal_CCC,val_Arousal_Pearson,val_Arousal_R2,val_Arousal_RMSE,val_CCC_mean
1,0.6853636405709702,0.37370567276052197,0.4394932970710382,-1.1978135034177853,0.3524935997124729,0.5812839649973607,0.7195977758927657,-0.21206566366183077,0.30131031227859745,0.4774948188789413,0.37125137655457097,0.4153629325565386,-1.1220825732115038,0.345636632307438,0.542996585166871,0.6635674942128118,-0.27604472303347416,0.3208130123709111,0.457123980860721
2,0.5511132040606116,0.5228002531619037,0.5327784448230377,-0.10247250805419639,0.2496546740588696,0.7321727033351311,0.7730264783629988,0.46461967456008535,0.20025442667628895,0.6274864782485174,0.4422849051229425,0.4448991329539707,-0.24560327018715622,0.26480641109644404,0.6621853331250406,0.7042427380398684,0.35134826948861375,0.22873088893316046,0.5522351191239916
3,0.48818271033774874,0.5473997883235975,0.5583124912964812,0.05546174209894039,0.23108172128781285,0.7830682915585502,0.7838295665686905,0.5634927930743545,0.1808200689951666,0.6652340399410739,0.39036161953093296,0.4155533277966377,-0.2208455968510774,0.26216155000442126,0.7046706982564349,0.7067399113686571,0.43232108051087526,0.21397863406675532,0.5475161588936839
4,0.46628675578926015,0.6107368772898046,0.6156051009299829,0.15599207731457954,0.21843844629463702,0.7953826317345182,0.7996118076315774,0.5852974403910642,0.17624600410022623,0.7030597545121614,0.4404780280877705,0.4405487163792918,-0.13931096717422897,0.2532560124099688,0.7197029682611656,0.7239261549202735,0.46235645877361986,0.20824100148872904,0.5800904981744681
5,0.456287921848385,0.5699794048685092,0.6398339740077688,0.005977329183967983,0.2370576429463586,0.6924822638003202,0.7925070000231665,0.22293615686512336,0.24125663840479464,0.6312308343344146,0.4515550761945867,0.4870256181879498,-0.13821956151964954,0.25313467974513504,0.6174787615692214,0.6977941516524165,0.09300846612474278,0.27047096087484324,0.5345169188819041
6,0.41740111313107925,0.6356675633194898,0.6953906282884111,0.08501047604692435,0.2274384453078715,0.7950661937234177,0.8080220820291854,0.5402734420666221,0.18556698772657995,0.7153668785214538,0.4148544520051918,0.47708368298258913,-0.32776045365759066,0.27339998738460813,0.7039925174102402,0.7126377377029665,0.3715395544304393,0.22514276830451732,0.559423484707716
7,0.4030302302903294,0.7017764127620603,0.7099478483836202,0.3462733937978629,0.19224448840483493,0.8242272545390615,0.8256705265635694,0.6265830312878136,0.16724299870620657,0.7630018336505608,0.4922445425854346,0.49305768140823336,0.009391926034414633,0.23615087397250462,0.720621550497444,0.7208457283563806,0.4491585840042229,0.21078141724863458,0.6064330465414394
8,0.37766650607509,0.7148459971289816,0.7215242844277224,0.3402576015949269,0.19312700904272986,0.8279523815888908,0.8355917623579983,0.6810883820763926,0.1545560791382203,0.7713991893589363,0.48684715141109486,0.48792284709840783,0.012797761588481338,0.2357445661862319,0.7183535929964706,0.7306844169276565,0.5083062765405115,0.19914360263384784,0.6026003722037827
9,0.3777040756792517,0.681241019503027,0.7250528498965755,0.2843975692191437,0.20113688535822394,0.81774023935506,0.8287430631093923,0.5993524299350856,0.17323361885940888,0.7494906294290435,0.4828290183923906,0.5016036350358606,-0.04907629086015475,0.24302008114774784,0.7119282745608349,0.7177644936586818,0.40017185222823004,0.21995429570688144,0.5973786464766128
10,0.3526660080329614,0.704612386776154,0.7306368030437947,0.2383576615891515,0.20750633314428107,0.8443504685102202,0.8515478430877099,0.6745579298082065,0.15613050639611278,0.7744814276431871,0.477543696785924,0.49442375091856744,-0.13910492263473895,0.2532331106827634,0.7105608918725492,0.7175877206652688,0.45715458020606603,0.20924597665574005,0.5940522943292366
11,0.3495140049589394,0.7114135005051382,0.7570301697974584,0.3491230244562128,0.1918250285814437,0.8028229592969058,0.8264125652190704,0.5439923511138709,0.1848149014619383,0.757118229901022,0.377151760670669,0.41979025705043416,-0.21922287023470588,0.2619872617962491,0.6618443901393786,0.6808597916489063,0.25387746422050683,0.24531500097310457,0.5194980754050238
12,0.33868629468201494,0.7608171119878819,0.7729364343527304,0.46592389200501483,0.17376303449123226,0.8513245838133725,0.8635569365222803,0.6905231897358588,0.15225269101121158,0.8060708479006272,0.42030218044777135,0.43020017606524547,-0.1179179725267594,0.2508670336872034,0.7154303329088215,0.7297163218872457,0.455268328902214,0.20960919997286845,0.5678662566782964
