epoch,train_loss,train_Valence_CCC,train_Valence_Pearson,train_Valence_R2,train_Valence_RMSE,train_Arousal_CCC,train_Arousal_Pearson,train_Arousal_R2,train_Arousal_RMSE,train_CCC_mean,valid_Valence_CCC,valid_Valence_Pearson,valid_Valence_R2,valid_Valence_RMSE,valid_Arousal_CCC,valid_Arousal_Pearson,valid_Arousal_R2,valid_Arousal_RMSE,valid_CCC_mean
1,0.8984404845935542,0.4215124618400004,0.5256875327728943,0.18071305019495865,0.27956417651118176,0.5035565347877969,0.7058862568686008,0.2828996995785579,0.29812603072375377,0.4625344983138987,0.3769958888938475,0.4624613435310895,0.17058006262734637,0.2764704361639087,0.4474613215755088,0.6299728596750975,0.24242675980785822,0.3082417538936601,0.41222860523467814
2,0.6446989837700758,0.5449037142230057,0.5502204000605082,-0.03006467267675128,0.313469829542847,0.7053670734300751,0.7113301216639311,0.36431156201484416,0.28069333588883383,0.6251353938265404,0.5000155176976478,0.5032779855235966,-0.10623942815505694,0.31929052359223453,0.6492387160953734,0.649725910641975,0.27928931253095113,0.3006489112525187,0.5746271168965107
3,0.5348718890814277,0.5437426245034198,0.5624278942870844,-0.22122901832984243,0.34132025308958264,0.7062580498206307,0.7227573789470126,0.25421202418687094,0.30403083634783235,0.6250003371620252,0.4939313609033717,0.5169954272015248,-0.3440737609385227,0.3519435527716267,0.6554520687476573,0.6672599650494646,0.16585561080039268,0.32344450012789844,0.5746917148255145
4,0.5530441539074348,0.5514689148366562,0.5807033176426216,-0.28512377182615234,0.3501353662406742,0.7106326638633029,0.7306960742356242,0.2512789478402929,0.3046281043561699,0.6310507893499795,0.5100714377216197,0.5342561793126879,-0.3925190513441146,0.35823006771237315,0.6666462843172982,0.6804529861655567,0.16726661093363648,0.3231708224528896,0.588358861019459
5,0.5274759938077229,0.5535057354825837,0.5847802475143269,-0.26770226671626074,0.34775400054057415,0.7163515935510385,0.7398691147630605,0.2523977582351138,0.30440041708479876,0.6349286645168111,0.5176805208056618,0.5416804107050577,-0.36536874704908273,0.3547206252158823,0.6758954734139118,0.6917356925011124,0.17673407995264467,0.32132848259514335,0.5967879971097868
6,0.5205893734606301,0.565469768622111,0.5901906337890258,-0.2149241139063962,0.3404380367792835,0.7206354928269689,0.7469071809809353,0.24623636999477416,0.3056522061909068,0.6430526307245399,0.5142026957763106,0.5448681872871424,-0.37611373896907563,0.35611365580757454,0.6737252439798052,0.6995510912270984,0.14877475830883147,0.3267393201229225,0.5939639698780579
7,0.4868481910325647,0.5643012131264291,0.5966497770799483,-0.246853566877,0.3448825550873464,0.719606138890079,0.7488603667739844,0.23280761124551108,0.30836287665480255,0.641953676008254,0.5230958166614688,0.5484154142468894,-0.36303177411002574,0.35441692428298127,0.6828523762921731,0.7038972393191056,0.16285095998028398,0.32402651219295553,0.6029740964768209
8,0.5097135608273793,0.5781349921144622,0.6046797995853262,-0.19040279393147608,0.33698492262751106,0.7343043945986917,0.76085185682941,0.29209731910165015,0.2962079593525437,0.6562196933565769,0.5164691014089683,0.5492581793173796,-0.37756617594198816,0.35630153861755776,0.6787291533529132,0.7088695977330993,0.16925149306626808,0.3227854417923579,0.5975991273809407
9,0.4351113802049218,0.5877298182116876,0.6138963964285199,-0.15621492984708674,0.33211063870780094,0.7448401682901993,0.7698219336827505,0.3247718330311189,0.28929119862746333,0.6662849932509434,0.5208950765785184,0.5538754281265379,-0.3584931699642273,0.35382636600508055,0.6861769656631215,0.7140736369600135,0.19407609148324967,0.31792609384723736,0.6035360211208199
10,0.4943176762359898,0.5852723983836725,0.6159232702512456,-0.15970666706372394,0.3326117431496782,0.7487146874431931,0.7732511620553698,0.35275559856658656,0.28323315946932215,0.6669935429134328,0.5070884503101406,0.5520566391275338,-0.4062962398547798,0.35999781940518427,0.6819498894591282,0.7130564725087939,0.20407506017850918,0.3159477092880778,0.5945191698846344
