epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,1.2542745682501024,0.4829738462813113,0.46173849673396944,0.4829738462813113,0.31497530230022136,"[[34951     0     0     0]
 [10590     0     0     0]
 [16539     0    25     0]
 [10313     0     0     0]]",0.4781161385772408,0.2285950419680113,0.4781161385772408,0.30930592800109097,"[[7756    0    0    0]
 [2004    0    0    0]
 [4303    0    0    0]
 [2159    0    0    0]]"
2,1.152863819228589,0.5555662956723466,0.395642912494969,0.5555662956723466,0.45081656605845366,"[[32715     0  2236     0]
 [ 9653     0   937     0]
 [ 9046     0  7518     0]
 [ 7561     0  2752     0]]",0.5478362717297497,0.4006266863000368,0.5478362717297497,0.45522126516714456,"[[7005    0  751    0]
 [1670    0  334    0]
 [2421    0 1882    0]
 [1297    0  862    0]]"
3,1.1050599115160553,0.5637410588527714,0.4010960667878193,0.5637410588527714,0.45954816822038475,"[[32700     0  2251     0]
 [ 9721     0   869     0]
 [ 8439     0  8125     0]
 [ 7163     0  3150     0]]",0.5612748119837258,0.41155406967619923,0.5612748119837258,0.46921424004114887,"[[7028    0  728    0]
 [1660    0  344    0]
 [2226    0 2077    0]
 [1206    0  953    0]]"
4,1.0848604098967443,0.5642105553867823,0.39932526165081206,0.5642105553867823,0.46728439121487375,"[[30403     0  4548     0]
 [ 9029     0  1561     0]
 [ 6108     0 10456     0]
 [ 5590     0  4723     0]]",0.5875354456910369,0.4364069537056877,0.5875354456910369,0.5008111816481363,"[[6628    0 1128    0]
 [1485    0  519    0]
 [1400    0 2903    0]
 [ 982    0 1177    0]]"
5,1.0642850933012025,0.5595984423762048,0.4006208608613159,0.5595984423762048,0.46669468627314425,"[[29014     0  5937     0]
 [ 8681     0  1909     0]
 [ 5053     0 11511     0]
 [ 4672     0  5641     0]]",0.5830970287264209,0.4388530062524442,0.5830970287264209,0.49991606630197033,"[[6331    0 1425    0]
 [1414    0  590    0]
 [1175    0 3128    0]
 [ 814    0 1345    0]]"
6,1.0422808384615654,0.5741942610953078,0.40619865068810806,0.5741942610953078,0.47519500866377967,"[[31010     0  3941     0]
 [ 9124     0  1466     0]
 [ 5992     0 10572     0]
 [ 5504     0  4809     0]]",0.5923437307360375,0.4396092614169973,0.5923437307360375,0.5046422175521074,"[[6709    0 1047    0]
 [1521    0  483    0]
 [1403    0 2900    0]
 [ 929    0 1230    0]]"
7,1.0326804454899954,0.5742080698168963,0.4068276910416756,0.5742080698168963,0.47597641283768555,"[[30692     0  4259     0]
 [ 9075     0  1515     0]
 [ 5673     0 10891     0]
 [ 5348     0  4965     0]]",0.5900628775736654,0.4388986792142537,0.5900628775736654,0.5033734851748034,"[[6621    0 1135    0]
 [1502    0  502    0]
 [1352    0 2951    0]
 [ 915    0 1244    0]]"
8,1.018951525086881,0.5554972520644039,0.4115654077259647,0.5554972520644039,0.4682177298808925,"[[26997     0  7954     0]
 [ 7968     0  2622     0]
 [ 3333     0 13231     0]
 [ 3266     0  7047     0]]",0.5540623844162249,0.43447753882042367,0.5540623844162249,0.48008202144236084,"[[5613    0 2143    0]
 [1265    0  739    0]
 [ 928    0 3375    0]
 [ 571    0 1588    0]]"
9,1.0115089232970542,0.5816509707531277,0.41201010341690164,0.5816509707531277,0.48199138756144844,"[[31095     0  3856     0]
 [ 9017     0  1573     0]
 [ 5537     0 11027     0]
 [ 5395     0  4918     0]]",0.5844532116878314,0.4327506734096481,0.5844532116878314,0.4971071394528113,"[[6717    0 1039    0]
 [1538    0  466    0]
 [1539    0 2764    0]
 [ 950    0 1209    0]]"
10,0.9884857595666063,0.5851721947582093,0.4155999599822989,0.5851721947582093,0.48198572201036555,"[[32406     0  2545     0]
 [ 9616     0   974     0]
 [ 6593     0  9971     0]
 [ 6509     0  3804     0]]",0.5734804586364197,0.4218264971861344,0.5734804586364197,0.4829147741303643,"[[6961    0  795    0]
 [1646    0  358    0]
 [1961    0 2342    0]
 [1130    0 1029    0]]"
