epoch,train_loss,train_Valence_CCC,train_Valence_Pearson,train_Valence_R2,train_Valence_RMSE,train_Arousal_CCC,train_Arousal_Pearson,train_Arousal_R2,train_Arousal_RMSE,train_CCC_mean,valid_Valence_CCC,valid_Valence_Pearson,valid_Valence_R2,valid_Valence_RMSE,valid_Arousal_CCC,valid_Arousal_Pearson,valid_Arousal_R2,valid_Arousal_RMSE,valid_CCC_mean
1,0.8454349044480981,0.27343481814302845,0.2829977979630553,-0.2188914857333728,0.2643759430185769,0.5551391950082093,0.569081677423443,-0.07664930130822101,0.29467079926805057,0.4142870065756189,0.14454645064631466,0.1522615261307605,-0.37289102019628784,0.2898227494334824,0.5637842861616349,0.5745391750949277,-0.04389743278592806,0.2811319613820183,0.3541653684039748
2,0.6825632105999329,0.29604339066167085,0.30716646146853077,-0.9115975152047253,0.3310835786499119,0.5325970552573038,0.5821827434307723,-0.541062395360691,0.352541364537419,0.41432022295948734,0.16351729822784333,0.16828696825324468,-1.1460668526980586,0.3623565059143664,0.5204186804498956,0.5672908515922843,-0.5849574132266124,0.34640974954904746,0.34196798933886946
3,0.6338317663438858,0.317010203425012,0.33449776261108966,-0.9437512625308468,0.3338564386858413,0.5495935899683866,0.5952130479700202,-0.4596520293302089,0.34310309631344155,0.4333018966966993,0.17729363165782458,0.18623252116105862,-1.2156291821164196,0.368182360896284,0.5343611910371701,0.5793694788867955,-0.5172649681270589,0.33893156978527206,0.3558274113474973
4,0.6350698047194663,0.35497841773005245,0.370403399398288,-0.7969030736287965,0.32099756494997583,0.5679393015694494,0.6141844290540653,-0.38997900485528825,0.3348143703981015,0.4614588596497509,0.20281961186611597,0.21090682961654905,-1.141203914267484,0.36194572729906505,0.5422289750285315,0.5883627929296394,-0.4963891059487777,0.33659183497748946,0.37252429344732374
5,0.6081034759622166,0.3785065398748711,0.3972538897791697,-0.7787718874908858,0.3193739875029488,0.5908724109018131,0.6305786860772765,-0.25516313668220825,0.31816328170652103,0.48468947538834206,0.2253281060470854,0.23505199932027987,-1.1241482078312255,0.36050131034450844,0.5616791042964915,0.6037563112093038,-0.37139072723842026,0.32222698824326934,0.39350360517178845
6,0.6081294372808899,0.39203462498674985,0.4099562782987308,-0.7124150538786367,0.3133602685056499,0.6133976562873752,0.6473408510647151,-0.13352270186173443,0.3023535560935286,0.5027161406370625,0.23691802294498046,0.24647958829714392,-1.069613114472225,0.35584348898058366,0.5781446849966633,0.6130132527156024,-0.2638255386261543,0.30933201552438394,0.40753135397082185
7,0.5842704259929768,0.4006297073912915,0.4218418184063585,-0.6903869585969482,0.31133824921230185,0.6240701267034963,0.6573287072363015,-0.09550116267682518,0.2972394103132127,0.5123499170473939,0.2478403379592997,0.26019510683126396,-1.0243151296511797,0.3519277398759273,0.5958385254033521,0.6297521361872417,-0.19491161789529077,0.3007801694388784,0.4218394316813259
8,0.5784131581307855,0.4159239879484361,0.4345878166141315,-0.6046889588173341,0.30334360544640615,0.6443175741260669,0.6724009047814036,0.007791858970925047,0.28287942638124675,0.5301207810372515,0.2656619631828938,0.27717553498438213,-0.9534371990254409,0.34571177087101634,0.6000750434428981,0.6311937247693745,-0.14628212562191667,0.29459615075140594,0.43286850331289595
9,0.5741102886864167,0.3973331713510069,0.4231149239957192,-0.7131066623209297,0.3134235419301267,0.6292063488947968,0.6773339531016078,-0.03420379221174197,0.28880388600276147,0.5132697601229018,0.2451750466187678,0.25767396993605457,-1.080711516558683,0.35679632738086153,0.5791570403929132,0.6251711927956299,-0.2134663250023323,0.30310644583960794,0.41216604350584046
10,0.565663061883093,0.4213282467495062,0.44894384012698124,-0.5214942305291119,0.2953755661540881,0.6713039264733631,0.6886101266229876,0.18273607413054005,0.2567326681917651,0.5463160866114347,0.26496520447298433,0.28433715530096026,-0.8638822572700848,0.33769425867144076,0.6299835843604432,0.6514418052626668,0.058950173054479804,0.2669239957062343,0.44747439441671377
